title,scenariste,dessinateur,code_barre,editeur,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"LE VAISSEAU DE PIERRE","","CHRISTIN","1000000000016","DARGAUD","Fantastique",,,100001,,,
"LA CROISIERE DES OUBLIES","","CHRISTIN","1000000000023","DARGAUD","Fantastique",,,100002,,,
"LES PHALANGES DE L'ORDRE NOIR","","CHRISTIN","1000000000030","DARGAUD","Fantastique",,,100003,,,
"BERNARD LERMITE : L'ETERNEL FEMININ DURE","","COUTURIER","1000000000047","FROMAGE","Humour",,,100004,,,
"ADELE BLANC-SEC : T 01 ADELE ET LA BETE","TARDI","TARDI","1000000000054","CASTERMAN","Fantastique",,,100005,,,
"BD NOIRE : LES GRANDES CRIMINELLES","LLOPIZ","MASSIANI","1000000000061","GLENAT","Policier",,,100006,,,
"CHRONIQUES PROVINCIALES : N 01 L'AFFAIRE FOURNEAUX","","DUVEAUX","1000000000078","GLENAT","Policier",,,100007,,,
"ADELE BLANC-SEC : T 03 LE SAVANT FOU","TARDI","TARDI","1000000000085","CASTERMAN","Fantastique",,,100008,,,
"ADELE BLANC-SEC : T 02 LE DEMON DE LA TOUR EIFFEL","TARDI","TARDI","1000000000092","CASTERMAN","Fantastique",,,100009,,,
"ARMALITE 16 : T 02 LUNE BLANCHE","","","1000000000108","HUMANOIDES","Fantastique",,,100010,,,
"BD NOIRE : LES ENQUETES DE SAM PEZZO : T 02","","GIARDINO","1000000000115","GLENAT","Policier",,,100011,,,
"BD NOIRE : LES ENQUETES DE SAM PEZZO : T 03","","GIARDINO","1000000000122","GLENAT","Policier",,,100012,,,
"BD NOIRE : LA CHAPELLE DU DEMON","","BOUCHARD","1000000000139","GLENAT","Policier",,,100013,,,
"BD NOIRE : HOLLYWOOD TRAFIC","","TIMOUK","1000000000146","GLENAT","Policier",,,100014,,,
"BERNARD LERMITE : CE N'EST PLUS LE PEUPLE QUI GRONDE..","","COUTURIER","1000000000153","DARGAUD","Humour",,,100015,,,
"CANARDO : T ? PREMIERE ENQUETE","","SOKAL","1000000000160","PEPPERLAND","Humour",,,100016,,,
"LES PASSAGERS DU VENT : T 01 LA FILLE SOUS LA DUNETTE","","BOURGEON","1000000000177","GLENAT","Aventure",,,100017,,,
"LES PASSAGERS DU VENT : T 02 LE PONTON","","BOURGEON","1000000000184","GLENAT","Aventure",,,100018,,,
"LES PASSAGERS DU VENT : T 03 LE COMPTOIR DE JUDAS","","BOURGEON","1000000000191","GLENAT","Aventure",,,100019,,,
"LES PASSAGERS DU VENT : T 04 L'HEURE DU SERPENT","","BOURGEON","1000000000207","GLENAT","Aventure",,,100020,,,
"FELINA","MORA","GOETZINGER","1000000000214","DARGAUD","Aventure",,,100021,,,
"RIP KIRBY : T 01 LA FORMULE DU DR HICKO","","RAYMOND","1000000000221","GLENAT","Policier",,,100022,,,
"RIP KIRBY : T 02 LA RANCON DE VELOURS","","RAYMOND","1000000000238","GLENAT","Policier",,,100023,,,
"AU LOUP !","","F'MURR","1000000000245","PEPPERLAND","Humour",,,100024,,,
"L'ART DE LA B D","","","1000000000252","GLENAT","Bibliographie",,,100025,,,
"BANDE DESSINEE 1981-1982","","","1000000000269","GLENAT","Bibliographie",,,100026,,,
"RICHARD ET CHARLIE AU JAPON","","","1000000000276","GLENAT","Aventure",,,100027,,,
"CAPITAINE FLAMBERGE","","MARIJAC","1000000000283","GLENAT","Aventure",,,100028,,,
"L'OMBRE DU CORBEAU","","","1000000000290","LOMBARD","Aventure",,,100029,,,
