title,auteur,code_barre,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"L'INVITATION AU CHATEAU","ANOUILH J.","2000000000008","Romans français",,,200000,"NULL",,
"CLEF POUR L'ECOLOGIE","AGUESSE P.","2000000000015",,,,200001,"NULL",,
"TRAVAILLER DEUX HEURES PAR JOUR","ADRET","2000000000022",,,,200002,"NULL",,
"L'INSTANT DE L'ECLIPSE","ALDISS","2000000000039",,,,200003,"NULL",,
"LE MONDE DE SATAN","ANDERSON P.","2000000000046",,,,200004,"NULL",,
"LE TOUR DU DOIGT","ANGLADE J.","2000000000053","Romans français",,,200005,"NULL",,
"LE TILLEUL DU SOIR","ANGLADE J.","2000000000060","Romans français",,,200006,"NULL",,
"UNE POMME OUBLIEE","ANGLADE J.","2000000000077","Romans français",,,200007,"NULL",,
"UNE VALSE POUR LE CHAT","HOUSTON","2000000026022","Romans français","2003-04-22T00:00:00.000Z",,202602,"NULL",,
"LES ENERGIES DU SOLEIL","AUDIBERT P.","2000000000121",,,,200012,"NULL",,
"EN DIRECT DE LA MEDECINE","BARRERE I.","2000000000138",,,,200013,"NULL",,
"300 TRUCS POUR LES FEMMES QUI TRAVAILLENT","BAUER M. F. - BENOIT J. P.","2000000000152",,,,200015,"NULL",,
"LETTRE OUVERTE AUX VIVANTS QUI VEULENT LE RESTER","BARJAVEL R.","2000000000169",,,,200016,"NULL",,
"LA POLLUTION DES MERS","BELLAN G.","2000000000183",,,,200018,"NULL",,
"MOHA LE FOU, MOHA LE SAGE","BEN JELLOUN T.","2000000000190","Romans français",,,200019,"NULL",,
"LE FOU D'AMERIQUE","BERGER Y.","2000000000206","Romans français",,,200020,"NULL",,
"LE LIVRE DU MYSTERE","BERGIER J. - GALLET G.","2000000000213",,,,200021,"NULL",,
"CONTES POPULAIRES ET LEGENDES DE BRETAGNE","BERNARD N. - GUILLAUME L.","2000000000237",,,,200023,"NULL",,
"FOOTBALL - LIVRE D'OR 1976","BIETRY C.","2000000000244",,,,200024,"NULL",,
"LA MEMOIRE BLESSEE","DE LA BIGNE C. H.","2000000000251","Romans français",,,200025,"NULL",,
"CONSOMMATEUR, DEFENDS-TOI","BIHL L.","2000000000268",,,,200026,"NULL",,
"CHANGER DE CAP","BINOCHE J.","2000000000275",,,,200027,"NULL",,
"MAISON DE CHARPENTIERS AMATEURS AMERICAINS","BOERICKE - SHAPIRO","2000000000282",,,,200028,"NULL",,
"LES GRANDS NAVIGATEURS","BOMBARD A.","2000000000299",,,,200029,"NULL",,
"LE BONHEUR EST DANS LE PRE","BONTE P.","2000000000305","Romans français",,,200030,"NULL",,
"L'ARISTOCRATIE DU REPORTAGE PHOTOGRAPHIQUE","BORGE J. - VIASNOFF N.","2000000000312",,,,200031,"NULL",,
"LE CENTRE POMPIDOU","BORDAZ R.","2000000000329",,,,200032,"NULL",,
"LE PIED","BORY J. L.","2000000000336","Romans français",,,200033,"NULL",,
"ECOLOGIE ET POLITIQUE","BOSQUET M.","2000000000343",,,,200034,"NULL",,
"CHOPIN","BOURNIQUEL C.","2000000000350",,,,200035,"NULL",,
"HISTOIRE DE LA DANSE EN OCCIDENT","BOURCIER P.","2000000000374",,,,200037,"NULL",,
"LE NOUVEAU DEFI DES OVNI","BOURRET J. C.","2000000000381",,,,200038,"NULL",,
"LA BIOLOGIE","BRAME T.","2000000000398",,,,200039,"NULL",,
"LE NOM DE LA ROSE","ECO U.","2000000000404","Romans italiens",,,200040,"NULL",,
"LES AZTEQUES","PRESCOTT","2000000000428",,,,200042,"NULL",,
"EN EFFEUILLANT L'AMERIQUE","CANS R.","2000000000435",,,,200043,"NULL",,
"GUIDE PRATIQUE DES FROMAGES","CANTIN C.","2000000000442",,,,200044,"NULL",,
"LE MUSEE DU PRADO","CANTON F. - SANCHEZ J.","2000000000459",,,,200045,"NULL",,
"LES MOTS POUR LE DIRE","CARDINAL M.","2000000000466","Romans français",,,200046,"NULL",,
"PABLO PICASSO","CASSOU J.","2000000000473",,,,200047,"NULL",,
"LES ROIS MAUDITS","DRUON M.","2000000000503",,,,200050,"NULL",,
"LES STYLES DE VIE DES FRANCAIS","CATHELAT B.","2000000000510",,,,200051,"NULL",,
"FRANCE, TA FORET FOUT LE CAMP","CAUWET J.","2000000000527",,,,200052,"NULL",,
