title,code_barre,date_acquis,date_hors_circu,ref,tags
"ACTION AUTO MOTO : JANVIER 2003","4012003010005","2003-04-06T00:00:00.000Z",,400001,
"SCIENCES ET AVENIR : JANVIER 2003","4112003010002","2003-04-07T00:00:00.000Z",,400002,
"60 MILLIONS DE CONSOMMATEURS : MARS 2003_N°370","4082003030006","2003-04-08T00:00:00.000Z",,400003,
"L'éCOLE DES PARENTS : MARS 2003","4052003030009","2003-04-08T00:00:00.000Z",,400004,
"L'éCOLE DES PARENTS : FEVRIER 2003","40520030200010","2003-04-08T00:00:00.000Z",,400005,
"ART ET DéCORATION : AVRIL 2003 n399","4022003040001","2003-04-08T00:00:00.000Z",,400006,
"60 MILLIONS DE CONSOMMATEURS : HS AVRIL 2003_N°111","4082003040005","2003-04-08T00:00:00.000Z",,400007,
"SCIENCES ET AVENIR : OCTOBRE 2002","4112002100001","2003-04-08T00:00:00.000Z",,400008,
"QUE CHOISIR : JANVIER 2003","4102003010003","2003-04-08T00:00:00.000Z",,400009,
"QUE CHOISIR : AVRIL 2003","41020030400010","2003-04-11T00:00:00.000Z",,400010,
"CUISINE ET VINS DE FRANCE : N°90 FEVRIER-MARS 2003","4032003020002","2003-04-11T00:00:00.000Z",,400011,
"QUE CHOISIR : FEVRIER 2003","4102003020002","2003-04-11T00:00:00.000Z",,400012,
"QUE CHOISIR : HORS SERIE 2003_N°90_Auto","4102003000004","2003-04-11T00:00:00.000Z",,400013,
"L'éCOLE DES PARENTS : AVRIL 2003","4052003040008","2003-04-15T00:00:00.000Z",,400014,
"60 MILLIONS DE CONSOMMATEURS : HORS SERIE_26_2003","4082003000009","2003-04-15T00:00:00.000Z",,400015,
"ORDINATEUR INDIVIDUEL : MARS 2003","4092003030005","2003-04-15T00:00:00.000Z",,400016,
"QUE CHOISIR : MARS 2003","4102003030001","2003-04-15T00:00:00.000Z",,400017,
"ACTION AUTO MOTO : AVRIL 2003","4012003040002","2003-04-15T00:00:00.000Z",,400019,
