"LE VAISSEAU DE PIERRE";"CHRISTIN";"";"DARGAUD";"F";"1";0000-00-00;"";NULL;NULL
"LA CROISIERE DES OUBLIES";"CHRISTIN";"";"DARGAUD";"F";"2";0000-00-00;"";NULL;NULL
"LES PHALANGES DE L'ORDRE NOIR";"CHRISTIN";"";"DARGAUD";"F";"3";0000-00-00;"";NULL;NULL
"BERNARD LERMITE : L'ETERNEL FEMININ DURE";"COUTURIER";"";"FROMAGE";"H";"4";0000-00-00;"";NULL;NULL
"ADELE BLANC-SEC : T 01 ADELE ET LA BETE";"TARDI";"TARDI";"CASTERMAN";"F";"5";0000-00-00;"";NULL;NULL
"BD NOIRE : LES GRANDES CRIMINELLES";"MASSIANI";"LLOPIZ";"GLENAT";"P";"6";0000-00-00;"";NULL;NULL
"CHRONIQUES PROVINCIALES : N 01 L'AFFAIRE FOURNEAUX";"DUVEAUX";"";"GLENAT";"P";"7";0000-00-00;"";NULL;NULL
"ADELE BLANC-SEC : T 03 LE SAVANT FOU";"TARDI";"TARDI";"CASTERMAN";"F";"8";0000-00-00;"";NULL;NULL
"ADELE BLANC-SEC : T 02 LE DEMON DE LA TOUR EIFFEL";"TARDI";"TARDI";"CASTERMAN";"F";"9";0000-00-00;"";NULL;NULL
"ARMALITE 16 : T 02 LUNE BLANCHE";"";"";"HUMANOIDES";"F";"10";0000-00-00;"";NULL;NULL
"BD NOIRE : LES ENQUETES DE SAM PEZZO : T 02";"GIARDINO";"";"GLENAT";"P";"11";0000-00-00;"";NULL;NULL
"BD NOIRE : LES ENQUETES DE SAM PEZZO : T 03";"GIARDINO";"";"GLENAT";"P";"12";0000-00-00;"";NULL;NULL
"BD NOIRE : LA CHAPELLE DU DEMON";"BOUCHARD";"";"GLENAT";"P";"13";0000-00-00;"";NULL;NULL
"BD NOIRE : HOLLYWOOD TRAFIC";"TIMOUK";"";"GLENAT";"P";"14";0000-00-00;"";NULL;NULL
"BERNARD LERMITE : CE N'EST PLUS LE PEUPLE QUI GRONDE..";"COUTURIER";"";"DARGAUD";"H";"15";0000-00-00;"";NULL;NULL
"CANARDO : T ? PREMIERE ENQUETE";"SOKAL";"";"PEPPERLAND";"H";"16";NULL;NULL;NULL;NULL
"LES PASSAGERS DU VENT : T 01 LA FILLE SOUS LA DUNETTE";"BOURGEON";"";"GLENAT";"A";"17";NULL;NULL;NULL;NULL
