0;"ANOUILH J.";"L'INVITATION AU CHATEAU";"808";NULL;NULL;NULL;NULL
1;"AGUESSE P.";"CLEF POUR L'ECOLOGIE";"303";NULL;NULL;NULL;NULL
2;"ADRET";"TRAVAILLER DEUX HEURES PAR JOUR";"331";NULL;NULL;NULL;NULL
3;"ALDISS";"L'INSTANT DE L'ECLIPSE";"SF 808";NULL;NULL;NULL;NULL
4;"ANDERSON P.";"LE MONDE DE SATAN";"SF 808";NULL;NULL;NULL;NULL
5;"ANGLADE J.";"LE TOUR DU DOIGT";"808";NULL;NULL;NULL;NULL
6;"ANGLADE J.";"LE TILLEUL DU SOIR";"808";NULL;NULL;NULL;NULL
7;"ANGLADE J.";"UNE POMME OUBLIEE";"808";NULL;NULL;NULL;NULL
2602;"HOUSTON";"UNE VALSE POUR LE CHAT";"808";2003-04-22;NULL;NULL;NULL
12;"AUDIBERT P.";"LES ENERGIES DU SOLEIL";"621";NULL;NULL;NULL;NULL
13;"BARRERE I.";"EN DIRECT DE LA MEDECINE";"610";NULL;NULL;NULL;NULL
15;"BAUER M. F. - BENOIT J. P.";"300 TRUCS POUR LES FEMMES QUI TRAVAILLENT";"640";NULL;NULL;NULL;NULL
16;"BARJAVEL R.";"LETTRE OUVERTE AUX VIVANTS QUI VEULENT LE RESTER";"301";NULL;NULL;NULL;NULL
18;"BELLAN G.";"LA POLLUTION DES MERS";"303";NULL;NULL;NULL;NULL
19;"BEN JELLOUN T.";"MOHA LE FOU, MOHA LE SAGE";"808";NULL;NULL;NULL;NULL
20;"BERGER Y.";"LE FOU D'AMERIQUE";"808";NULL;NULL;NULL;NULL
21;"BERGIER J. - GALLET G.";"LE LIVRE DU MYSTERE";"520";NULL;NULL;NULL;NULL
23;"BERNARD N. - GUILLAUME L.";"CONTES POPULAIRES ET LEGENDES DE BRETAGNE";"398";NULL;NULL;NULL;NULL
24;"BIETRY C.";"FOOTBALL - LIVRE D'OR 1976";"796";NULL;NULL;NULL;NULL
25;"DE LA BIGNE C. H.";"LA MEMOIRE BLESSEE";"808";NULL;NULL;NULL;NULL
26;"BIHL L.";"CONSOMMATEUR, DEFENDS-TOI";"640";NULL;NULL;NULL;NULL
27;"BINOCHE J.";"CHANGER DE CAP";"329";NULL;NULL;NULL;NULL
28;"BOERICKE - SHAPIRO";"MAISON DE CHARPENTIERS AMATEURS AMERICAINS";"720";NULL;NULL;NULL;NULL
29;"BOMBARD A.";"LES GRANDS NAVIGATEURS";"623";NULL;NULL;NULL;NULL
30;"BONTE P.";"LE BONHEUR EST DANS LE PRE";"808";NULL;NULL;NULL;NULL
31;"BORGE J. - VIASNOFF N.";"L'ARISTOCRATIE DU REPORTAGE PHOTOGRAPHIQUE";"770";NULL;NULL;NULL;NULL
32;"BORDAZ R.";"LE CENTRE POMPIDOU";"301";NULL;NULL;NULL;NULL
33;"BORY J. L.";"LE PIED";"808";NULL;NULL;NULL;NULL
34;"BOSQUET M.";"ECOLOGIE ET POLITIQUE";"303";NULL;NULL;NULL;NULL
35;"BOURNIQUEL C.";"CHOPIN";"780";NULL;NULL;NULL;NULL
37;"BOURCIER P.";"HISTOIRE DE LA DANSE EN OCCIDENT";"792";NULL;NULL;NULL;NULL
38;"BOURRET J. C.";"LE NOUVEAU DEFI DES OVNI";"523";NULL;NULL;NULL;NULL
39;"BRAME T.";"LA BIOLOGIE";"574";NULL;NULL;NULL;NULL
40;"ECO U.";"LE NOM DE LA ROSE";"850";NULL;NULL;NULL;NULL
42;"PRESCOTT";"LES AZTEQUES";"930";NULL;NULL;NULL;NULL
43;"CANS R.";"EN EFFEUILLANT L'AMERIQUE";"301";NULL;NULL;NULL;NULL
44;"CANTIN C.";"GUIDE PRATIQUE DES FROMAGES";"641";NULL;NULL;NULL;NULL
45;"CANTON F. - SANCHEZ J.";"LE MUSEE DU PRADO";"708";NULL;NULL;NULL;NULL
46;"CARDINAL M.";"LES MOTS POUR LE DIRE";"808";NULL;NULL;NULL;NULL
47;"CASSOU J.";"PABLO PICASSO";"708";NULL;NULL;NULL;NULL
50;"DRUON M.";"LES ROIS MAUDITS";"944";NULL;NULL;NULL;NULL
51;"CATHELAT B.";"LES STYLES DE VIE DES FRANCAIS";"301";NULL;NULL;NULL;NULL
52;"CAUWET J.";"FRANCE, TA FORET FOUT LE CAMP";"634";NULL;NULL;NULL;NULL
53;"CENDRARS B.";"L'OR";"808";NULL;NULL;NULL;NULL
54;"BOURNIQUEL C.";"L'IRLANDE";"914";NULL;NULL;NULL;NULL
55;"CERVETTO J. M.";"QUATRE ANS DANS L'ENFER DES FOUS";"616";NULL;NULL;NULL;NULL
56;"";"CINEMA - ANNEE 1977";"791";NULL;NULL;NULL;NULL
58;"CLAVEL B.";"LA SAISON DES LOUPS";"808";NULL;NULL;NULL;NULL
4058;"MAC DONALD P.";"PETITE SOEUR";"P";2004-03-18;NULL;NULL;NULL
61;"CONRAN T.";"LE GRAND LIVRE DE LA DECORATION CONTEMPORAINE";"747";NULL;NULL;NULL;NULL
4140;NULL;"CARTE IGN 3814 OUEST REICHSHOFFEN";"89";2005-03-04;NULL;NULL;NULL
64;"COMMONER B.";"L'ENCERCLEMENT (SURVIE TERRESTRE)";"303";NULL;NULL;NULL;NULL
66;"PIVOT S.";"LA NORVEGE";"914";NULL;NULL;NULL;NULL
68;"DECOIN D.";"LA DERNIERE NUIT";"808";NULL;NULL;NULL;NULL
69;"DENUZIERE M.";"LOUISIANE";"808";NULL;NULL;NULL;NULL
71;"DESCARGUES P.";"LE MUSEE DE L'ERMITAGE : LENINGRAD";"708";NULL;NULL;NULL;NULL
73;"DOUTRELANT P.";"LES BONS VINS ET LES AUTRES";"641";NULL;NULL;NULL;NULL
74;"DROUIN H.";"COMMENT REUSSIR SON TROISIEME AGE";"618";NULL;NULL;NULL;NULL
76;"DUBOS R.";"LES DIEUX DE L'ECOLOGIE";"303";NULL;NULL;NULL;NULL
79;"DUPAS A.";"LA LUTTE POUR L'ESPACE";"500";NULL;NULL;NULL;NULL
80;"ROME J.";"LES MAYAS";"930";NULL;NULL;NULL;NULL
82;"ESCARPIT";"VIVRE LA GAUCHE";"320";NULL;NULL;NULL;NULL
83;"D'ESPEZEL ET FOSCA";"HISTOIRE DE LA PEINTURE";"750";NULL;NULL;NULL;NULL
84;"JOFFO J.";"UN SAC DE BILLES";"808";NULL;NULL;NULL;NULL
85;"FALLET R.";"LE BEAUJOLAIS NOUVEAU EST ARRIVE";"808";NULL;NULL;NULL;NULL
86;"VASQUEZ F.";"AGUIRRE OU LA FIEVRE DE L'INDEPENDANCE";"910";NULL;NULL;NULL;NULL
87;"FERARI O.";"LES TRESORS D'ART DU VATICAN";"708";NULL;NULL;NULL;NULL
88;"FORNERET X.";"CONTES POPULAIRES ET LEGENDES DE BOURGOGNE";"398";NULL;NULL;NULL;NULL
89;"FRANCOIS D.";"L'ELECTRICITE EN 10 LECONS";"644";NULL;NULL;NULL;NULL
90;"FRISON-ROCHE R.";"PREMIER DE CORDEE";"808";NULL;NULL;NULL;NULL
91;"GALLO M.";"QUE SONT LES SIECLES POUR LA MER ?";"808";NULL;NULL;2006-04-14;NULL
92;"GARAS K.";"LES MUSEES DES BEAUX ARTS DE BUDAPEST";"708";NULL;NULL;NULL;NULL
93;"GAUSSEL A.";"UN PANIER DE MENSONGES";"640";NULL;NULL;NULL;NULL
94;"GELLY J.";"MOI, CLAIRE";"808";NULL;NULL;NULL;NULL
95;"GRAY M.";"LA VIE RENAITRA DE LA NUIT";"920";NULL;NULL;NULL;NULL
96;"GOMEZ ARCOS A.";"ANA, NON";"808";NULL;NULL;NULL;NULL
